SEASON_ID,W,L,W_PCT,CONFERENCE,SEASON_LABEL,CONF_RANK
22003,9620,11899,0.4452342857142857,West,2003-04,1986
22003,9620,11899,0.4452342857142857,West,2003-04,1987
22003,9620,11899,0.4452342857142857,West,2003-04,1989
22003,9620,11899,0.4452342857142857,West,2003-04,2213
22003,9620,11899,0.4452342857142857,West,2003-04,2214
22003,9620,11899,0.4452342857142857,West,2003-04,2594
22003,9620,11899,0.4452342857142857,West,2003-04,2596
22003,9620,11899,0.4452342857142857,West,2003-04,2598
22003,9620,11899,0.4452342857142857,West,2003-04,2600
22003,9620,11899,0.4452342857142857,West,2003-04,2646
22003,9620,11899,0.4452342857142857,West,2003-04,2852
22003,9620,11899,0.4452342857142857,West,2003-04,2854
22003,9620,11899,0.4452342857142857,West,2003-04,2878
22003,9620,11899,0.4452342857142857,West,2003-04,2880
22003,9620,11899,0.4452342857142857,West,2003-04,3372
22003,9620,11899,0.4452342857142857,West,2003-04,3376
22003,9620,11899,0.4452342857142857,West,2003-04,3379
22003,9620,11899,0.4452342857142857,West,2003-04,3382
22003,9620,11899,0.4452342857142857,West,2003-04,3385
22003,9620,11899,0.4452342857142857,West,2003-04,3387
22003,9620,11899,0.4452342857142857,West,2003-04,3389
22003,9620,11899,0.4452342857142857,West,2003-04,3395
22003,9620,11899,0.4452342857142857,West,2003-04,3397
22003,9620,11899,0.4452342857142857,West,2003-04,3400
22003,9620,11899,0.4452342857142857,West,2003-04,3401
22003,9620,11899,0.4452342857142857,West,2003-04,3402
22003,9620,11899,0.4452342857142857,West,2003-04,3404
22003,9620,11899,0.4452342857142857,West,2003-04,3405
22003,9620,11899,0.4452342857142857,West,2003-04,3410
22003,9620,11899,0.4452342857142857,West,2003-04,3436
22003,9620,11899,0.4452342857142857,West,2003-04,3439
22003,9620,11899,0.4452342857142857,West,2003-04,3454
22003,9620,11899,0.4452342857142857,West,2003-04,3459
22003,9620,11899,0.4452342857142857,West,2003-04,3473
22003,9620,11899,0.4452342857142857,West,2003-04,3476
22003,9620,11899,0.4452342857142857,West,2003-04,3487
22003,9620,11899,0.4452342857142857,West,2003-04,3548
22003,9620,11899,0.4452342857142857,West,2003-04,3549
22003,9620,11899,0.4452342857142857,West,2003-04,3570
22003,9620,11899,0.4452342857142857,West,2003-04,3573
